District,Taluka,Year,Cluster
Buldhana District,Motala,2017,1
Buldhana District,Motala,2018,1
Buldhana District,Motala,2019,1
Buldhana District,Motala,2020,0
Buldhana District,Motala,2021,1
Buldhana District,Motala,2022,1
Buldhana District,Motala,2023,0
Buldhana District,Nandura,2010,0
Buldhana District,Nandura,2011,0
Buldhana District,Nandura,2012,0
Buldhana District,Nandura,2013,0
Buldhana District,Nandura,2014,0
Buldhana District,Nandura,2015,0
Buldhana District,Nandura,2016,0
Buldhana District,Nandura,2017,1
Buldhana District,Nandura,2018,1
Buldhana District,Nandura,2019,1
Buldhana District,Nandura,2020,1
Buldhana District,Nandura,2021,1
Buldhana District,Nandura,2022,0
Buldhana District,Nandura,2023,1
Buldhana District,Sangrampur,2010,0
Buldhana District,Sangrampur,2011,0
Buldhana District,Sangrampur,2012,0
Buldhana District,Sangrampur,2013,0
Buldhana District,Sangrampur,2014,0
Buldhana District,Sangrampur,2015,0
Buldhana District,Sangrampur,2016,0
Buldhana District,Sangrampur,2017,2
Buldhana District,Sangrampur,2018,2
Buldhana District,Sangrampur,2019,2
Buldhana District,Sangrampur,2020,0
Buldhana District,Sangrampur,2021,1
Buldhana District,Sangrampur,2022,0
Buldhana District,Sangrampur,2023,0
Buldhana District,Sangrampur,2024,1
Buldhana District,Shegaon,2010,1
Buldhana District,Shegaon,2011,1
Buldhana District,Shegaon,2012,1
Buldhana District,Shegaon,2013,2
Buldhana District,Shegaon,2014,1
Buldhana District,Shegaon,2015,0
Buldhana District,Shegaon,2016,2
Buldhana District,Shegaon,2017,2
Buldhana District,Shegaon,2018,2
Buldhana District,Shegaon,2019,1
Buldhana District,Shegaon,2020,1
Buldhana District,Shegaon,2021,1
Buldhana District,Shegaon,2022,2
Buldhana District,Shegaon,2023,0
Buldhana District,Shegaon,2024,0
Buldhana District,Sindkhed Raja,2010,0
Buldhana District,Sindkhed Raja,2011,2
Buldhana District,Sindkhed Raja,2012,2
Buldhana District,Sindkhed Raja,2013,2
Buldhana District,Sindkhed Raja,2014,1
Buldhana District,Sindkhed Raja,2015,1
Buldhana District,Sindkhed Raja,2016,2
Buldhana District,Sindkhed Raja,2017,1
Buldhana District,Sindkhed Raja,2018,1
Buldhana District,Sindkhed Raja,2019,2
Buldhana District,Sindkhed Raja,2020,2
Buldhana District,Sindkhed Raja,2021,1
Buldhana District,Sindkhed Raja,2022,1
Buldhana District,Sindkhed Raja,2023,0
Buldhana District,Sindkhed Raja,2024,0
Dhule District,Dhule,2010,0
Dhule District,Dhule,2011,2
Dhule District,Dhule,2012,2
Dhule District,Dhule,2013,2
Dhule District,Dhule,2014,2
Dhule District,Dhule,2015,1
Dhule District,Dhule,2016,1
Dhule District,Dhule,2017,1
Dhule District,Dhule,2018,2
Dhule District,Dhule,2019,1
Dhule District,Dhule,2020,1
Dhule District,Dhule,2021,1
Dhule District,Dhule,2022,1
Dhule District,Dhule,2023,1
Dhule District,Dhule,2024,1
Dhule District,Sakri,2010,0
Dhule District,Sakri,2011,2
Dhule District,Sakri,2012,2
Dhule District,Sakri,2013,2
Dhule District,Sakri,2014,2
Dhule District,Sakri,2015,2
Dhule District,Sakri,2016,2
Dhule District,Sakri,2017,2
Dhule District,Sakri,2018,1
Dhule District,Sakri,2019,2
Dhule District,Sakri,2020,2
Dhule District,Sakri,2021,2
Dhule District,Sakri,2022,2
Dhule District,Sakri,2023,2
Dhule District,Sakri,2024,1
Dhule District,Shirpur,2010,1
Dhule District,Shirpur,2011,0
Dhule District,Shirpur,2012,0
Dhule District,Shirpur,2013,1
Dhule District,Shirpur,2014,0
Dhule District,Shirpur,2015,0
Dhule District,Shirpur,2016,2
Dhule District,Shirpur,2017,1
Dhule District,Shirpur,2018,0
Dhule District,Shirpur,2019,0
Dhule District,Shirpur,2020,1
Dhule District,Shirpur,2021,0
Dhule District,Shirpur,2022,1
Dhule District,Shirpur,2023,1
Dhule District,Shirpur,2024,1
Dhule District,Sindkheda,2010,1
Dhule District,Sindkheda,2011,0
Dhule District,Sindkheda,2012,0
Dhule District,Sindkheda,2013,1
Dhule District,Sindkheda,2015,1
Dhule District,Sindkheda,2016,1
Dhule District,Sindkheda,2017,1
Dhule District,Sindkheda,2018,1
Dhule District,Sindkheda,2019,0
Dhule District,Sindkheda,2020,1
Dhule District,Sindkheda,2021,1
Dhule District,Sindkheda,2022,1
Dhule District,Sindkheda,2023,0
Dhule District,Sindkheda,2024,1
Hingoli District,Aundha Nagnath,2010,0
Hingoli District,Aundha Nagnath,2011,2
Hingoli District,Aundha Nagnath,2012,2
Hingoli District,Aundha Nagnath,2013,2
Hingoli District,Aundha Nagnath,2014,2
Hingoli District,Aundha Nagnath,2015,2
Hingoli District,Aundha Nagnath,2016,2
Hingoli District,Aundha Nagnath,2017,2
Hingoli District,Aundha Nagnath,2018,2
Hingoli District,Aundha Nagnath,2019,2
Hingoli District,Aundha Nagnath,2020,2
Hingoli District,Aundha Nagnath,2021,2
Hingoli District,Aundha Nagnath,2022,1
Hingoli District,Aundha Nagnath,2023,1
Hingoli District,Aundha Nagnath,2024,1
Jalgaon District,Amalner,2010,2
Jalgaon District,Amalner,2011,0
Jalgaon District,Amalner,2012,0
Jalgaon District,Amalner,2013,2
Jalgaon District,Amalner,2014,2
Jalgaon District,Amalner,2015,2
Jalgaon District,Amalner,2016,2
Jalgaon District,Amalner,2017,1
Jalgaon District,Amalner,2018,1
Jalgaon District,Amalner,2019,1
Jalgaon District,Amalner,2020,1
Jalgaon District,Amalner,2021,1
Jalgaon District,Amalner,2022,1
Jalgaon District,Amalner,2023,1
Jalgaon District,Amalner,2024,1
Jalgaon District,Bhadgaon,2010,2
Jalgaon District,Bhadgaon,2011,2
Jalgaon District,Bhadgaon,2012,2
Jalgaon District,Bhadgaon,2013,2
Jalgaon District,Bhadgaon,2014,0
Jalgaon District,Bhadgaon,2015,2
Jalgaon District,Bhadgaon,2016,2
Jalgaon District,Bhadgaon,2017,2
Jalgaon District,Bhadgaon,2018,2
Jalgaon District,Bhadgaon,2019,1
Jalgaon District,Bhadgaon,2020,1
Jalgaon District,Bhadgaon,2021,0
Jalgaon District,Bhadgaon,2022,1
Jalgaon District,Bhadgaon,2023,2
Jalgaon District,Bhadgaon,2024,1
Jalgaon District,Bodvad,2010,1
Jalgaon District,Bodvad,2011,1
Jalgaon District,Bodvad,2012,1
Jalgaon District,Bodvad,2013,0
Jalgaon District,Bodvad,2014,1
Jalgaon District,Bodvad,2015,1
Jalgaon District,Bodvad,2016,0
Jalgaon District,Bodvad,2017,2
Jalgaon District,Bodvad,2018,2
Jalgaon District,Bodvad,2019,1
Jalgaon District,Bodvad,2020,1
Jalgaon District,Bodvad,2021,1
Jalgaon District,Bodvad,2022,1
Jalgaon District,Bodvad,2023,1
Jalgaon District,Bodvad,2024,0
Jalgaon District,Chalisgaon,2010,2
Jalgaon District,Chalisgaon,2011,2
Jalgaon District,Chalisgaon,2012,2
Jalgaon District,Chalisgaon,2013,2
Jalgaon District,Chalisgaon,2014,0
Jalgaon District,Chalisgaon,2015,0
Jalgaon District,Chalisgaon,2016,2
Jalgaon District,Chalisgaon,2017,0
Jalgaon District,Chalisgaon,2018,1
Jalgaon District,Chalisgaon,2019,1
Jalgaon District,Chalisgaon,2020,0
Jalgaon District,Chalisgaon,2021,1
Jalgaon District,Chalisgaon,2022,1
Jalgaon District,Chalisgaon,2023,1
Jalgaon District,Chalisgaon,2024,2
Jalgaon District,Chopda,2010,0
Jalgaon District,Chopda,2011,1
Jalgaon District,Chopda,2012,0
Jalgaon District,Chopda,2013,0
Jalgaon District,Chopda,2014,0
Jalgaon District,Chopda,2015,0
Jalgaon District,Chopda,2016,0
Jalgaon District,Chopda,2017,0
Jalgaon District,Chopda,2018,1
Jalgaon District,Chopda,2019,1
Jalgaon District,Chopda,2020,1
Jalgaon District,Chopda,2021,1
Jalgaon District,Chopda,2022,1
Jalgaon District,Chopda,2023,1
Jalgaon District,Chopda,2024,2
Jalgaon District,Dharangaon,2010,2
Jalgaon District,Dharangaon,2011,1
Jalgaon District,Dharangaon,2012,2
Jalgaon District,Dharangaon,2013,1
Jalgaon District,Dharangaon,2014,0
Jalgaon District,Dharangaon,2015,0
Jalgaon District,Dharangaon,2016,0
Jalgaon District,Dharangaon,2017,1
Jalgaon District,Dharangaon,2018,1
Jalgaon District,Dharangaon,2019,1
Jalgaon District,Dharangaon,2020,1
Jalgaon District,Dharangaon,2021,1
Jalgaon District,Dharangaon,2022,1
Jalgaon District,Dharangaon,2023,2
Jalgaon District,Dharangaon,2024,1
Jalgaon District,Erandol,2010,2
Jalgaon District,Erandol,2011,2
Jalgaon District,Erandol,2012,2
Jalgaon District,Erandol,2013,2
Jalgaon District,Erandol,2014,2
Jalgaon District,Erandol,2015,0
Jalgaon District,Erandol,2016,0
Jalgaon District,Erandol,2017,1
Jalgaon District,Erandol,2018,1
Jalgaon District,Erandol,2019,2
Jalgaon District,Erandol,2020,2
Jalgaon District,Erandol,2021,1
Jalgaon District,Erandol,2022,1
Jalgaon District,Erandol,2023,2
Jalgaon District,Erandol,2024,1
Jalgaon District,Jalgaon,2010,2
Jalgaon District,Jalgaon,2011,2
Jalgaon District,Jalgaon,2012,2
Jalgaon District,Jalgaon,2013,0
Jalgaon District,Jalgaon,2014,2
Jalgaon District,Jalgaon,2015,2
Jalgaon District,Jalgaon,2016,2
Jalgaon District,Jalgaon,2017,2
Jalgaon District,Jalgaon,2018,2
Jalgaon District,Jalgaon,2019,2
Jalgaon District,Jalgaon,2020,2
Jalgaon District,Jalgaon,2021,1
Jalgaon District,Jalgaon,2022,1
Jalgaon District,Jalgaon,2023,2
Jalgaon District,Jalgaon,2024,1
Jalgaon District,Jamner,2010,1
Jalgaon District,Jamner,2011,2
Jalgaon District,Jamner,2012,2
Jalgaon District,Jamner,2013,2
Jalgaon District,Jamner,2014,2
Jalgaon District,Jamner,2015,2
Jalgaon District,Jamner,2016,2
Jalgaon District,Jamner,2017,1
Jalgaon District,Jamner,2018,1
Jalgaon District,Jamner,2019,2
Jalgaon District,Jamner,2020,0
Jalgaon District,Jamner,2021,1
Jalgaon District,Jamner,2022,1
Jalgaon District,Jamner,2023,1
Jalgaon District,Jamner,2024,1
Jalgaon District,Muktainagar,2010,2
Jalgaon District,Muktainagar,2011,2
Jalgaon District,Muktainagar,2012,2
Jalgaon District,Muktainagar,2013,2
Jalgaon District,Muktainagar,2014,1
Jalgaon District,Muktainagar,2015,2
Jalgaon District,Muktainagar,2016,2
Jalgaon District,Muktainagar,2017,1
Jalgaon District,Muktainagar,2018,2
Jalgaon District,Muktainagar,2019,2
Jalgaon District,Muktainagar,2020,1
Jalgaon District,Muktainagar,2021,1
Jalgaon District,Muktainagar,2022,1
Jalgaon District,Muktainagar,2023,2
Jalgaon District,Muktainagar,2024,1
Jalgaon District,Pachora,2010,2
Jalgaon District,Pachora,2011,2
Jalgaon District,Pachora,2012,2
Jalgaon District,Pachora,2013,2
Jalgaon District,Pachora,2014,1
Jalgaon District,Pachora,2015,2
Jalgaon District,Pachora,2016,1
Jalgaon District,Pachora,2017,1
Jalgaon District,Pachora,2018,2
Jalgaon District,Pachora,2019,1
Jalgaon District,Pachora,2020,1
Jalgaon District,Pachora,2021,1
Jalgaon District,Pachora,2022,1
Jalgaon District,Pachora,2023,1
Jalgaon District,Pachora,2024,1
Jalgaon District,Parola,2010,0
Jalgaon District,Parola,2011,2
Jalgaon District,Parola,2012,2
Jalgaon District,Parola,2013,0
Jalgaon District,Parola,2014,0
Jalgaon District,Parola,2015,2
Jalgaon District,Parola,2016,2
Jalgaon District,Parola,2017,2
Jalgaon District,Parola,2018,2
Jalgaon District,Parola,2019,1
Jalgaon District,Parola,2020,2
Jalgaon District,Parola,2021,1
Jalgaon District,Parola,2022,1
Jalgaon District,Parola,2023,0
Jalgaon District,Parola,2024,0
Jalgaon District,Raver,2010,2
Jalgaon District,Raver,2011,0
Jalgaon District,Raver,2012,0
Jalgaon District,Raver,2013,2
Jalgaon District,Raver,2014,0
Jalgaon District,Raver,2015,0
Jalgaon District,Raver,2016,0
Jalgaon District,Raver,2017,2
Jalgaon District,Raver,2018,0
Jalgaon District,Raver,2019,1
Jalgaon District,Raver,2020,0
Jalgaon District,Raver,2021,2
Jalgaon District,Raver,2022,1
Jalgaon District,Raver,2023,0
Jalgaon District,Raver,2024,2
Jalgaon District,Yawal,2010,0
Jalgaon District,Yawal,2011,0
Jalgaon District,Yawal,2012,0
Jalgaon District,Yawal,2013,1
Jalgaon District,Yawal,2014,0
Jalgaon District,Yawal,2015,0
Jalgaon District,Yawal,2016,1
Jalgaon District,Yawal,2017,0
Jalgaon District,Yawal,2018,0
Jalgaon District,Yawal,2019,1
Jalgaon District,Yawal,2020,0
Jalgaon District,Yawal,2021,0
Jalgaon District,Yawal,2022,0
Jalgaon District,Yawal,2023,0
Jalgaon District,Yawal,2024,0
Jalna District,Ambad,2010,2
Jalna District,Ambad,2011,2
Jalna District,Ambad,2012,2
Jalna District,Ambad,2013,2
Jalna District,Ambad,2014,2
Jalna District,Ambad,2015,2
Jalna District,Ambad,2016,2
Jalna District,Ambad,2017,2
Jalna District,Ambad,2018,2
Jalna District,Ambad,2019,2
Jalna District,Ambad,2020,0
Jalna District,Ambad,2021,2
Jalna District,Ambad,2022,1
Jalna District,Ambad,2023,2
Jalna District,Ambad,2024,2
Jalna District,Badnapur,2017,0
Jalna District,Badnapur,2018,1
Jalna District,Badnapur,2019,1
Jalna District,Badnapur,2020,1
Jalna District,Badnapur,2021,0
Jalna District,Badnapur,2022,0
Jalna District,Badnapur,2023,0
Jalna District,Badnapur,2024,0
Jalna District,Badnapur,2010,0
Jalna District,Bhokardan,2017,0
Jalna District,Bhokardan,2018,0
Jalna District,Bhokardan,2019,1
Jalna District,Bhokardan,2020,1
Jalna District,Bhokardan,2021,1
Jalna District,Bhokardan,2022,1
Jalna District,Bhokardan,2023,1
Jalna District,Bhokardan,2024,1
Jalna District,Ghansawangi,2010,0
Jalna District,Ghansawangi,2011,0
Jalna District,Ghansawangi,2012,0
Jalna District,Ghansawangi,2013,0
Jalna District,Ghansawangi,2014,2
Jalna District,Ghansawangi,2015,2
Jalna District,Ghansawangi,2016,2
Jalna District,Ghansawangi,2017,2
Jalna District,Ghansawangi,2018,2
Jalna District,Ghansawangi,2019,2
Jalna District,Ghansawangi,2020,2
Jalna District,Ghansawangi,2021,0
Jalna District,Ghansawangi,2022,2
Jalna District,Ghansawangi,2023,2
Jalna District,Ghansawangi,2024,2
Jalna District,Jafrabad (Jafferabad),2010,0
Jalna District,Jafrabad (Jafferabad),2011,0
Jalna District,Jafrabad (Jafferabad),2012,2
Jalna District,Jafrabad (Jafferabad),2013,2
Jalna District,Jafrabad (Jafferabad),2014,0
Jalna District,Jafrabad (Jafferabad),2015,2
Jalna District,Jafrabad (Jafferabad),2016,2
Jalna District,Jafrabad (Jafferabad),2017,2
Jalna District,Jafrabad (Jafferabad),2018,2
Jalna District,Jafrabad (Jafferabad),2019,1
Jalna District,Jafrabad (Jafferabad),2020,0
Jalna District,Jafrabad (Jafferabad),2021,1
Jalna District,Jafrabad (Jafferabad),2022,2
Jalna District,Jafrabad (Jafferabad),2023,0
Jalna District,Jafrabad (Jafferabad),2024,0
Jalna District,Jalna,2010,2
Jalna District,Jalna,2011,2
Jalna District,Jalna,2012,2
Jalna District,Jalna,2013,2
Jalna District,Jalna,2014,2
Jalna District,Jalna,2015,2
Jalna District,Jalna,2016,2
Jalna District,Jalna,2017,2
Jalna District,Jalna,2018,2
Jalna District,Jalna,2019,1
Jalna District,Jalna,2020,1
Jalna District,Jalna,2021,2
Jalna District,Jalna,2022,1
Jalna District,Jalna,2023,2
Jalna District,Jalna,2024,1
Jalna District,Mantha,2010,0
Jalna District,Mantha,2011,2
Jalna District,Mantha,2012,2
Jalna District,Mantha,2013,2
Jalna District,Mantha,2014,2
Jalna District,Mantha,2015,2
Jalna District,Mantha,2016,2
Jalna District,Mantha,2017,1
Jalna District,Mantha,2018,1
Jalna District,Mantha,2019,2
Jalna District,Mantha,2020,0
Jalna District,Mantha,2021,2
Jalna District,Mantha,2022,1
Jalna District,Mantha,2023,1
Jalna District,Mantha,2024,1
Jalna District,Partur,2020,2
Jalna District,Partur,2021,0
Jalna District,Partur,2022,0
Jalna District,Partur,2023,1
Jalna District,Partur,2024,1
Kolhapur District,Ajra,2010,0
Kolhapur District,Ajra,2011,1
Kolhapur District,Ajra,2012,1
Kolhapur District,Ajra,2013,1
Kolhapur District,Ajra,2014,1
Kolhapur District,Ajra,2015,1
Kolhapur District,Ajra,2016,2
Kolhapur District,Ajra,2017,1
Kolhapur District,Ajra,2018,0
Kolhapur District,Ajra,2019,0
Kolhapur District,Ajra,2020,0
Kolhapur District,Ajra,2021,1
Kolhapur District,Ajra,2022,0
Kolhapur District,Ajra,2023,0
Kolhapur District,Ajra,2024,0
Kolhapur District,Bhudargad,2010,2
Kolhapur District,Bhudargad,2011,2
Kolhapur District,Bhudargad,2012,2
Kolhapur District,Bhudargad,2013,1
Kolhapur District,Bhudargad,2014,1
Kolhapur District,Bhudargad,2015,1
Kolhapur District,Bhudargad,2016,2
Kolhapur District,Bhudargad,2017,1
Kolhapur District,Bhudargad,2018,0
Kolhapur District,Bhudargad,2019,0
Kolhapur District,Bhudargad,2020,0
Kolhapur District,Bhudargad,2021,1
Kolhapur District,Bhudargad,2022,1
Kolhapur District,Bhudargad,2023,1
Kolhapur District,Bhudargad,2024,1
Kolhapur District,chandgad,2010,0
Kolhapur District,chandgad,2011,2
Kolhapur District,chandgad,2012,2
Kolhapur District,chandgad,2013,2
Kolhapur District,chandgad,2014,1
Kolhapur District,chandgad,2015,2
Kolhapur District,chandgad,2016,2
Kolhapur District,chandgad,2017,2
Kolhapur District,chandgad,2018,0
Kolhapur District,chandgad,2019,0
Kolhapur District,chandgad,2020,0
Kolhapur District,chandgad,2021,1
Kolhapur District,chandgad,2022,2
Kolhapur District,chandgad,2023,2
Kolhapur District,chandgad,2024,2
Kolhapur District,Gadhinglaj,2010,0
Kolhapur District,Gadhinglaj,2011,0
Kolhapur District,Gadhinglaj,2012,0
Kolhapur District,Gadhinglaj,2013,0
Kolhapur District,Gadhinglaj,2014,0
Kolhapur District,Gadhinglaj,2015,2
Kolhapur District,Gadhinglaj,2016,1
Kolhapur District,Gadhinglaj,2017,1
Kolhapur District,Gadhinglaj,2018,0
Kolhapur District,Gadhinglaj,2019,1
Kolhapur District,Gadhinglaj,2020,0
Kolhapur District,Gadhinglaj,2021,1
Kolhapur District,Gadhinglaj,2022,1
Kolhapur District,Gadhinglaj,2023,1
Kolhapur District,Gadhinglaj,2024,1
Kolhapur District,Kagal,2010,2
Kolhapur District,Kagal,2011,2
Kolhapur District,Kagal,2012,2
Kolhapur District,Kagal,2013,0
Kolhapur District,Kagal,2014,2
Kolhapur District,Kagal,2015,1
Kolhapur District,Kagal,2016,2
Kolhapur District,Kagal,2017,2
Kolhapur District,Kagal,2018,1
Kolhapur District,Kagal,2019,1
Kolhapur District,Kagal,2020,1
Kolhapur District,Kagal,2021,0
Kolhapur District,Kagal,2022,1
Kolhapur District,Kagal,2023,1
Kolhapur District,Kagal,2024,1
Kolhapur District,Panhala,2010,0
Kolhapur District,Panhala,2011,0
Kolhapur District,Panhala,2012,0
Kolhapur District,Panhala,2013,2
Kolhapur District,Panhala,2014,1
Kolhapur District,Panhala,2015,2
Kolhapur District,Panhala,2016,1
Kolhapur District,Panhala,2017,2
Kolhapur District,Panhala,2018,2
Kolhapur District,Panhala,2019,1
Kolhapur District,Panhala,2020,1
Kolhapur District,Panhala,2021,0
Kolhapur District,Panhala,2022,1
Kolhapur District,Panhala,2023,1
Kolhapur District,Panhala,2024,1
Kolhapur District,Radhanagari,2010,0
Kolhapur District,Radhanagari,2011,0
Kolhapur District,Radhanagari,2012,0
Kolhapur District,Radhanagari,2013,0
Kolhapur District,Radhanagari,2014,0
Kolhapur District,Radhanagari,2015,0
Kolhapur District,Radhanagari,2016,2
Kolhapur District,Radhanagari,2017,1
Kolhapur District,Radhanagari,2018,0
Kolhapur District,Radhanagari,2019,1
Kolhapur District,Radhanagari,2020,1
Kolhapur District,Radhanagari,2021,1
Kolhapur District,Radhanagari,2022,0
Kolhapur District,Radhanagari,2023,0
Kolhapur District,Radhanagari,2024,0
Kolhapur District,Shahuwadi,2010,0
Kolhapur District,Shahuwadi,2011,2
Kolhapur District,Shahuwadi,2012,2
Kolhapur District,Shahuwadi,2013,0
Kolhapur District,Shahuwadi,2014,2
Kolhapur District,Shahuwadi,2015,2
Kolhapur District,Shahuwadi,2016,2
Kolhapur District,Shahuwadi,2017,1
Kolhapur District,Shahuwadi,2018,0
Kolhapur District,Shahuwadi,2019,1
Kolhapur District,Shahuwadi,2020,1
Kolhapur District,Shahuwadi,2021,1
Kolhapur District,Shahuwadi,2022,1
Kolhapur District,Shahuwadi,2023,1
Kolhapur District,Shahuwadi,2024,0
Latur District,Ahmadpur,2010,0
Latur District,Ahmadpur,2011,0
Latur District,Ahmadpur,2012,0
Latur District,Ahmadpur,2013,2
Latur District,Ahmadpur,2014,2
Latur District,Ahmadpur,2015,2
Latur District,Ahmadpur,2016,2
Latur District,Ahmadpur,2017,2
Latur District,Ahmadpur,2018,2
Latur District,Ahmadpur,2019,1
Latur District,Ahmadpur,2020,0
Latur District,Ahmadpur,2021,1
Latur District,Ahmadpur,2022,1
Latur District,Ahmadpur,2023,1
Latur District,Ahmadpur,2024,1
Latur District,Chakur,2010,0
Latur District,Chakur,2011,0
Latur District,Chakur,2012,0
Latur District,Chakur,2013,2
Latur District,Chakur,2014,0
Latur District,Chakur,2015,1
Latur District,Chakur,2016,0
Latur District,Chakur,2017,2
Latur District,Chakur,2018,2
Latur District,Chakur,2019,1
Latur District,Chakur,2020,0
Latur District,Chakur,2021,0
Latur District,Chakur,2022,0
Latur District,Chakur,2023,0
Latur District,Chakur,2024,0
Latur District,Deoni,2010,2
Latur District,Deoni,2011,2
Latur District,Deoni,2012,1
Latur District,Deoni,2013,1
Latur District,Deoni,2014,0
Latur District,Deoni,2015,0
Latur District,Deoni,2016,1
Latur District,Deoni,2017,2
Latur District,Deoni,2018,2
Latur District,Deoni,2019,1
Latur District,Deoni,2020,1
Latur District,Deoni,2021,1
Latur District,Deoni,2022,1
Latur District,Deoni,2023,1
Latur District,Deoni,2024,2
Latur District,Latur,2010,1
Latur District,Latur,2011,2
Latur District,Latur,2012,2
Latur District,Latur,2013,2
Latur District,Latur,2014,2
Latur District,Latur,2015,2
Latur District,Latur,2016,2
Latur District,Latur,2017,2
Latur District,Latur,2018,1
Latur District,Latur,2019,1
Latur District,Latur,2020,1
Latur District,Latur,2021,1
Latur District,Latur,2022,1
Latur District,Latur,2023,1
Latur District,Latur,2024,2
Latur District,Nilanga,2010,0
Latur District,Nilanga,2011,0
Latur District,Nilanga,2012,1
Latur District,Nilanga,2013,1
Latur District,Nilanga,2014,2
Latur District,Nilanga,2015,1
Latur District,Nilanga,2016,2
Latur District,Nilanga,2017,1
Latur District,Nilanga,2018,1
Latur District,Nilanga,2019,1
Latur District,Nilanga,2020,1
Latur District,Nilanga,2021,1
Latur District,Nilanga,2022,1
Latur District,Nilanga,2023,1
Latur District,Nilanga,2024,1
Latur District,Renapur,2010,0
Latur District,Renapur,2011,1
Latur District,Renapur,2012,1
Latur District,Renapur,2013,1
Latur District,Renapur,2014,0
Latur District,Renapur,2015,1
Latur District,Renapur,2016,0
Latur District,Renapur,2017,1
Latur District,Renapur,2018,0
Latur District,Renapur,2019,1
Latur District,Renapur,2020,1
Latur District,Renapur,2021,1
Latur District,Renapur,2022,1
Latur District,Renapur,2023,0
Latur District,Shirur-Anantpal,2010,0
Latur District,Shirur-Anantpal,2011,0
Latur District,Shirur-Anantpal,2012,0
Latur District,Shirur-Anantpal,2013,1
Latur District,Shirur-Anantpal,2014,0
Latur District,Shirur-Anantpal,2015,1
Latur District,Shirur-Anantpal,2016,0
Latur District,Shirur-Anantpal,2017,1
Latur District,Shirur-Anantpal,2018,1
Latur District,Shirur-Anantpal,2019,1
Latur District,Shirur-Anantpal,2020,0
Latur District,Shirur-Anantpal,2021,1
Latur District,Shirur-Anantpal,2022,0
Latur District,Shirur-Anantpal,2023,0
Latur District,Shirur-Anantpal,2024,0
Latur District,Udgir,2010,2
Latur District,Udgir,2011,2
Latur District,Udgir,2012,2
Latur District,Udgir,2013,2
Latur District,Udgir,2014,2
Latur District,Udgir,2015,2
Latur District,Udgir,2016,2
Latur District,Udgir,2017,2
Latur District,Udgir,2018,2
Latur District,Udgir,2019,2
Latur District,Udgir,2020,1
Latur District,Udgir,2021,1
Latur District,Udgir,2022,2
Latur District,Udgir,2023,2
Latur District,Udgir,2024,2
Nagpur District,Bhiwapur,2010,1
Nagpur District,Bhiwapur,2011,1
Nagpur District,Bhiwapur,2012,1
Nagpur District,Bhiwapur,2013,1
Nagpur District,Bhiwapur,2014,2
Nagpur District,Bhiwapur,2015,1
Nagpur District,Bhiwapur,2016,1
Nagpur District,Bhiwapur,2017,0
Nagpur District,Bhiwapur,2018,0
Nagpur District,Bhiwapur,2019,1
Nagpur District,Bhiwapur,2020,0
Nagpur District,Bhiwapur,2021,0
Nagpur District,Bhiwapur,2022,0
Nagpur District,Bhiwapur,2023,0
Nagpur District,Bhiwapur,2024,0
Nagpur District,Hingna,2010,1
Nagpur District,Hingna,2011,0
Nagpur District,Hingna,2012,0
Nagpur District,Hingna,2013,0
Nagpur District,Hingna,2014,1
Nagpur District,Hingna,2015,1
Nagpur District,Hingna,2016,2
Nagpur District,Hingna,2017,1
Nagpur District,Hingna,2018,1
Nagpur District,Hingna,2019,1
Nagpur District,Hingna,2020,0
Nagpur District,Hingna,2021,0
Nagpur District,Hingna,2022,1
Nagpur District,Hingna,2023,1
Nagpur District,Hingna,2024,1
Nagpur District,Kalameshwar,2010,0
Nagpur District,Kalameshwar,2011,1
Nagpur District,Kalameshwar,2012,0
Nagpur District,Kalameshwar,2013,0
Nagpur District,Kalameshwar,2014,1
Nagpur District,Kalameshwar,2015,1
Nagpur District,Kalameshwar,2016,1
Nagpur District,Kalameshwar,2017,1
Nagpur District,Kalameshwar,2018,1
Nagpur District,Kalameshwar,2019,1
Nagpur District,Kalameshwar,2020,0
Nagpur District,Kalameshwar,2021,0
Nagpur District,Kalameshwar,2022,0
Nagpur District,Kalameshwar,2023,1
Nagpur District,Kalameshwar,2024,0
Nagpur District,Kamthi,2010,0
Nagpur District,Kamthi,2011,1
Nagpur District,Kamthi,2012,1
Nagpur District,Kamthi,2013,2
Nagpur District,Kamthi,2014,1
Nagpur District,Kamthi,2015,1
Nagpur District,Kamthi,2016,2
Nagpur District,Kamthi,2017,1
Nagpur District,Kamthi,2018,1
Nagpur District,Kamthi,2019,1
Nagpur District,Kamthi,2020,1
Nagpur District,Kamthi,2021,1
Nagpur District,Kamthi,2022,1
Nagpur District,Kamthi,2023,1
Nagpur District,Kamthi,2024,1
Nagpur District,Katol,2010,0
Nagpur District,Katol,2011,0
Nagpur District,Katol,2012,2
Nagpur District,Katol,2013,2
Nagpur District,Katol,2014,2
Nagpur District,Katol,2015,0
Nagpur District,Katol,2016,0
Nagpur District,Katol,2017,2
Nagpur District,Katol,2018,2
Nagpur District,Katol,2019,2
Nagpur District,Katol,2020,0
Nagpur District,Katol,2021,1
Nagpur District,Katol,2022,1
Nagpur District,Katol,2023,1
Nagpur District,Katol,2024,1
Nagpur District,Kuhi,2010,2
Nagpur District,Kuhi,2011,2
Nagpur District,Kuhi,2012,2
Nagpur District,Kuhi,2013,1
Nagpur District,Kuhi,2014,0
Nagpur District,Kuhi,2015,1
Nagpur District,Kuhi,2016,2
