District,Taluka,Year,Cluster
Ahmednagar District,Shevgaon,2022,1
Ahmednagar District,Shevgaon,2023,2
Ahmednagar District,Shevgaon,2024,2
Ahmednagar District,Shrigonda,2010,2
Ahmednagar District,Shrigonda,2011,2
Ahmednagar District,Shrigonda,2012,2
Ahmednagar District,Shrigonda,2013,2
Ahmednagar District,Shrigonda,2014,2
Ahmednagar District,Shrigonda,2015,2
Ahmednagar District,Shrigonda,2016,1
Ahmednagar District,Shrigonda,2017,1
Ahmednagar District,Shrigonda,2018,2
Ahmednagar District,Shrigonda,2019,1
Ahmednagar District,Shrigonda,2020,1
Ahmednagar District,Shrigonda,2021,2
Ahmednagar District,Shrigonda,2022,2
Ahmednagar District,Shrigonda,2023,1
Ahmednagar District,Shrigonda,2024,0
Akola District,Achalpur,2010,0
Akola District,Achalpur,2011,0
Akola District,Achalpur,2012,0
Akola District,Achalpur,2013,2
Akola District,Achalpur,2014,0
Akola District,Achalpur,2015,2
Akola District,Achalpur,2016,2
Akola District,Achalpur,2017,0
Akola District,Achalpur,2018,1
Akola District,Achalpur,2019,0
Akola District,Achalpur,2020,0
Akola District,Achalpur,2021,2
Akola District,Achalpur,2022,1
Akola District,Achalpur,2023,0
Akola District,Achalpur,2024,1
Akola District,Akot,2012,0
Akola District,Balapur,2010,0
Akola District,Balapur,2011,0
Akola District,Balapur,2012,2
Akola District,Balapur,2013,1
Akola District,Balapur,2014,2
Akola District,Balapur,2015,2
Akola District,Balapur,2016,2
Akola District,Balapur,2017,2
Akola District,Balapur,2018,2
Akola District,Balapur,2019,1
Akola District,Balapur,2020,2
Akola District,Balapur,2021,2
Akola District,Balapur,2022,1
Akola District,Balapur,2023,1
Akola District,Balapur,2024,1
Akola District,Barshitakli,2010,2
Akola District,Barshitakli,2011,2
Akola District,Barshitakli,2012,2
Akola District,Barshitakli,2013,1
Akola District,Barshitakli,2014,1
Akola District,Barshitakli,2015,0
Akola District,Barshitakli,2016,2
Akola District,Barshitakli,2017,1
Akola District,Barshitakli,2018,2
Akola District,Barshitakli,2019,2
Akola District,Barshitakli,2020,0
Akola District,Barshitakli,2021,0
Akola District,Barshitakli,2022,0
Akola District,Barshitakli,2023,0
Akola District,Barshitakli,2024,0
Akola District,Murtijapur,2010,2
Akola District,Murtijapur,2011,2
Akola District,Murtijapur,2012,2
Akola District,Murtijapur,2013,1
Akola District,Murtijapur,2014,2
Akola District,Murtijapur,2015,2
Akola District,Murtijapur,2016,2
Akola District,Murtijapur,2017,2
Akola District,Murtijapur,2018,2
Akola District,Murtijapur,2019,1
Akola District,Murtijapur,2020,1
Akola District,Murtijapur,2021,2
Akola District,Murtijapur,2022,1
Akola District,Murtijapur,2023,1
Akola District,Murtijapur,2024,1
Akola District,Telharar,2010,0
Akola District,Telharar,2011,0
Akola District,Telharar,2012,0
Akola District,Telharar,2013,0
Akola District,Telharar,2014,0
Akola District,Telharar,2015,0
Akola District,Telharar,2016,0
Akola District,Telharar,2017,0
Akola District,Telharar,2018,2
Akola District,Telharar,2019,1
Akola District,Telharar,2020,2
Akola District,Telharar,2021,0
Akola District,Telharar,2022,1
Akola District,Telharar,2023,1
Akola District,Telharar,2024,1
Amravati District,Dharni,2010,0
Amravati District,Dharni,2011,0
Amravati District,Dharni,2012,0
Amravati District,Dharni,2013,0
Amravati District,Dharni,2014,0
Amravati District,Dharni,2015,0
Amravati District,Dharni,2016,0
Amravati District,Dharni,2017,0
Amravati District,Dharni,2018,0
Amravati District,Dharni,2019,0
Amravati District,Dharni,2020,0
Amravati District,Dharni,2021,0
Amravati District,Dharni,2022,1
Amravati District,Dharni,2023,1
Amravati District,Dharni,2024,0
Amravati District,Morshi,2010,0
Amravati District,Morshi,2011,0
Amravati District,Morshi,2012,0
Amravati District,Morshi,2013,2
Amravati District,Morshi,2014,2
Amravati District,Morshi,2015,2
Amravati District,Morshi,2016,2
Amravati District,Morshi,2017,2
Amravati District,Morshi,2018,2
Amravati District,Morshi,2019,2
Amravati District,Morshi,2020,1
Amravati District,Morshi,2021,2
Amravati District,Morshi,2022,2
Amravati District,Morshi,2023,2
Amravati District,Morshi,2024,2
Amravati District,Warud,2017,1
Amravati District,Warud,2018,0
Amravati District,Warud,2019,0
Amravati District,Warud,2020,1
Amravati District,Warud,2021,1
Amravati District,Warud,2022,0
Amravati District,Warud,2023,0
Amravati District,Warud,2024,0
Aurangabad District,Aurangabad,2010,2
Aurangabad District,Aurangabad,2011,2
Aurangabad District,Aurangabad,2012,2
Aurangabad District,Aurangabad,2013,2
Aurangabad District,Aurangabad,2014,2
Aurangabad District,Aurangabad,2015,2
Aurangabad District,Aurangabad,2016,2
Aurangabad District,Aurangabad,2017,1
Aurangabad District,Aurangabad,2018,1
Aurangabad District,Aurangabad,2019,1
Aurangabad District,Aurangabad,2020,1
Aurangabad District,Aurangabad,2021,1
Aurangabad District,Aurangabad,2022,2
Aurangabad District,Aurangabad,2023,1
Aurangabad District,Aurangabad,2024,2
Aurangabad District,Gangapur,2010,2
Aurangabad District,Gangapur,2011,2
Aurangabad District,Gangapur,2012,0
Aurangabad District,Gangapur,2013,0
Aurangabad District,Gangapur,2014,2
Aurangabad District,Gangapur,2015,2
Aurangabad District,Gangapur,2016,2
Aurangabad District,Gangapur,2017,1
Aurangabad District,Gangapur,2018,1
Aurangabad District,Gangapur,2019,1
Aurangabad District,Gangapur,2020,1
Aurangabad District,Gangapur,2021,1
Aurangabad District,Gangapur,2022,0
Aurangabad District,Gangapur,2023,0
Aurangabad District,Kannad,2010,0
Aurangabad District,Kannad,2011,0
Aurangabad District,Kannad,2012,0
Aurangabad District,Kannad,2013,0
Aurangabad District,Kannad,2014,2
Aurangabad District,Kannad,2015,2
Aurangabad District,Kannad,2016,1
Aurangabad District,Kannad,2017,2
Aurangabad District,Kannad,2018,2
Aurangabad District,Kannad,2019,1
Aurangabad District,Kannad,2020,2
Aurangabad District,Kannad,2021,2
Aurangabad District,Kannad,2022,1
Aurangabad District,Paithan,2010,0
Aurangabad District,Paithan,2011,0
Aurangabad District,Paithan,2012,0
Aurangabad District,Paithan,2013,0
Aurangabad District,Paithan,2014,0
Aurangabad District,Paithan,2015,0
Aurangabad District,Paithan,2016,0
