District,Taluka,Year,NDVI,Red,Green,Blue,GLCM_Contrast,GLCM_Homogeneity,GLCM_Energy,Green/Red_Ratio,Cluster
Beed District,Georai,2014,0.0192,112.61,110.93,112.47,761.5062,0.0706,0.0108,0.985,2
Beed District,Georai,2015,0.0192,112.61,110.93,112.47,761.5062,0.0706,0.0108,0.985,2
Beed District,Georai,2016,-0.0727,130.21,111.86,96.66,797.3994,0.0671,0.0111,0.859,2
Beed District,Georai,2017,-0.0253,96.15,89.57,83.39,704.1001,0.0756,0.0131,0.9316,1
Beed District,Georai,2018,-0.1251,136.35,105.94,99.34,807.1338,0.0645,0.0116,0.777,2
Beed District,Georai,2019,-0.1032,126.95,104.11,92.61,868.394,0.0624,0.0109,0.8201,2
Beed District,Georai,2020,0.0522,95.78,101.76,91.13,868.2274,0.068,0.0128,1.0624,0
Beed District,Georai,2021,-0.1208,126.21,99.49,92.04,994.7074,0.0585,0.0097,0.7882,1
Beed District,Georai,2022,0.0408,93.5,97.53,102.94,691.7906,0.0771,0.0137,1.0432,0
Beed District,Georai,2023,0.0491,93.61,99.39,104.75,721.926,0.0757,0.0131,1.0617,0
Beed District,Kaij,2010,0.0208,96.63,95.05,95.11,1073.5912,0.0747,0.0105,0.9837,1
Beed District,Kaij,2011,0.0208,96.63,95.05,95.11,1073.5912,0.0747,0.0105,0.9837,1
Beed District,Kaij,2012,0.0635,99.91,106.64,107.5,830.2176,0.0793,0.0114,1.0673,0
Beed District,Kaij,2013,-0.1222,158.39,126.31,106.98,815.1102,0.0694,0.0117,0.7974,2
Beed District,Kaij,2014,-0.0439,125.02,113.74,108.48,779.1225,0.0726,0.0116,0.9098,2
Beed District,Kaij,2015,-0.094,117.33,99.67,87.84,1262.1439,0.0628,0.0092,0.8495,1
Beed District,Kaij,2016,-0.017,130.98,126.51,116.33,106.7938,0.2368,0.0502,0.9658,0
Beed District,Kaij,2017,-0.017,130.98,126.51,116.33,106.7938,0.2368,0.0502,0.9658,0
Beed District,Kaij,2018,-0.0246,111.02,105.09,94.04,1078.7578,0.0647,0.0093,0.9466,1
Beed District,Kaij,2019,0.0128,102.85,103.26,102.54,1134.4996,0.0648,0.0102,1.004,2
Beed District,Kaij,2020,-0.0421,117.79,105.99,96.3,123.5918,0.1888,0.0209,0.8998,0
Beed District,Kaij,2021,-0.0327,111.14,105.07,106.08,778.3256,0.0755,0.0114,0.9454,2
Beed District,Kaij,2022,-0.1386,135.89,106.86,88.67,955.742,0.0715,0.0105,0.7864,2
Beed District,Kaij,2023,0.0304,105.33,109.35,106.65,889.9699,0.0753,0.0115,1.0381,2
Beed District,Kaij,2024,-0.0327,111.14,105.07,106.08,778.3256,0.0755,0.0114,0.9454,2
Beed District,Majalgaon,2010,0.0531,92.77,95.37,96.52,789.8112,0.1025,0.0143,1.028,0
Beed District,Majalgaon,2011,0.0531,92.77,95.37,96.52,789.8112,0.1025,0.0143,1.028,0
